id,host_id,vcpus,memory,memory_real,est_duration
2cbcf7bd-08c9-4cb5-93ca-ed9f795544b1,node-29,16,65536.0,25996,4
bea222cb-27fc-4ec9-b6b8-a46ffa293027,node-48,4,16384.0,4981,1
9e503f18-b5ef-41d4-82c7-f902d2894fd5,node-84,4,16384.0,7079,1
e4dc674e-f433-4edc-a795-37f7935abeb3,node-48,16,65536.0,28626,3
6d0cdf66-500a-4b24-8d29-e5fa877a2cd7,node-42,8,16384.0,6082,1
48ee548d-b2d1-4249-8f3e-b27b8ebb1397,node-71,8,16384.0,7118,1
69e8c87c-8c0d-4c40-8af0-041ab6f3268a,node-27,8,16384.0,7385,1
f532efa5-e87e-424d-bbfa-671d2d5e03f4,node-81,4,65536.0,30525,4
8517673d-24d0-4d45-92be-d95754597de1,node-187,12,32768.0,15643,2
2ee1e25c-05bd-435d-a2c4-608ccf4de6c8,node-91,4,8192.0,2753,1
61c52e3b-bddd-42a0-a518-b46a9a168b53,node-36,2,4096.0,1229,1
d4fea4e2-ee64-4ebd-94a2-0ed4161d8087,node-13,8,32768.0,11486,2
92077cd9-2907-443a-990c-fe0706605888,node-65,4,32768.0,10413,2
a27d42d6-3048-4e69-9068-007ca235c758,node-83,4,8192.0,3292,1
1f893a37-a7dd-45eb-bf7d-a3399dbbf75e,node-85,4,16384.0,4971,1
89effd36-9e80-4dfe-887a-96f5f7caeca4,node-80,8,65536.0,26953,3
acfa603d-5a28-46ef-a181-eba482257b01,node-48,8,65536.0,22334,3
e129bc11-2292-4413-aaec-a2e72c67569a,node-97,8,32768.0,12286,2
4eefeb42-c979-4dbb-878b-9dbad7f2dead,node-55,2,4096.0,1639,1
9d1bf8e5-b882-4a28-9e89-09e5763f3c6d,node-24,4,8192.0,3940,1
1af8e326-0bd4-4658-8001-93a99ce67ee9,node-91,2,8192.0,3116,1
e624137d-fabf-472e-bf2c-295348bb3685,node-42,4,8192.0,2896,1
d46f63e3-f2da-4865-9e94-9a188a77b70f,node-53,8,32768.0,11233,2
c185623d-808d-4881-9a19-64b5af6a3db8,node-61,4,8192.0,2862,1
acaa835f-873d-4efe-86f8-db89dde9b754,node-61,4,8192.0,3201,1
21fb2996-b354-49fa-b924-057f6c10c7d6,node-29,8,32768.0,11740,2
195c56f9-5cb4-425f-9c77-1342af01dcec,node-87,4,8192.0,2656,1
d94addb7-9ec4-4699-8e8f-4f6753a0d11a,node-24,2,8192.0,2654,1
03e261dc-8f33-4fa8-8412-e303d5ebf0b5,node-71,16,65536.0,30831,4
ae75753f-d88d-4633-8d49-9e345df3913a,node-73,16,65536.0,30417,4
4a9fa6c9-556d-4db4-80cc-0cda0f9d4f05,node-19,4,16384.0,6691,1
db9f5ed0-c6df-47ff-9395-e9bb8457e8e3,node-21,4,16384.0,6190,1
1893879f-7d0a-482e-a32c-bda46f630a14,node-189,16,65536.0,29475,4
13ca31d5-fc9d-4b3a-926e-b1f4231d6be2,node-28,16,65536.0,31653,4
83a9d537-8af8-4ee9-a704-3b7f18e81aec,node-65,16,65536.0,19901,3
eb492035-f608-4a18-aba2-9def239b2882,node-73,16,65536.0,23095,3
a50dce87-6935-455a-b8ca-d73da3d4f752,node-27,16,65536.0,26792,4
48649d46-37a6-4e38-be73-5c192bcfd259,node-15,16,65536.0,28553,4
a98a5c16-1703-4641-a074-880edd3045a7,node-51,2,8192.0,3638,1
7fbb4e3f-5d5f-47c8-ac8e-44dba222325c,node-56,2,8192.0,2892,1
e2ba9454-4c5e-4782-ac31-0489ac403e6d,node-60,16,65536.0,28738,4
683c6e0f-8269-41d6-8b1f-56af1a75003e,node-29,16,65536.0,25041,3
56c69429-9123-43b8-b404-5d6d5b818d6c,node-70,16,65536.0,32050,4
540c8bc6-c72e-4794-b807-bd534946b1aa,node-15,16,65536.0,28771,4
3e8f8e42-3912-44ee-b1bb-9b229a09fbd3,node-94,4,16384.0,4985,1
537ee3e7-089f-44a7-bef4-5e4c86d28b71,node-28,8,32768.0,15653,2
8a5f7b97-ed4f-4687-8a52-d7636a7ce59b,node-64,4,16384.0,6676,1
f521513e-92b3-4b31-a3df-cbe3defca931,node-42,4,16384.0,6799,1
d3c32258-0512-40d4-83fb-e0eba035e0c5,node-55,4,16384.0,6256,1
bf04e5fb-0cbd-4f1a-8fba-600fb09357a8,node-64,4,8192.0,3673,1
4af0b706-e599-4790-8259-53aaedfbe3b2,node-61,16,65536.0,21639,3
04ea1fe5-99d6-40f7-8bd3-3da007e01697,node-14,4,16384.0,6909,1
3c758e7a-8e95-454e-9d32-093951648d39,node-34,4,16384.0,6640,1
57e23a96-b4de-4be0-9d0c-521126cfc720,node-100,16,65536.0,21084,3
6be7f0c8-f59e-4dc6-a5ff-34ed692f7631,node-57,4,65536.0,26140,4
24a94c50-e043-4f27-bbdf-be2c4ceb2c3f,node-33,8,65536.0,26604,4
b36a2edb-19bd-4a6d-8395-91cba08e4513,node-86,8,32768.0,16261,2
3dcda2d2-fbfa-4b08-990c-589df6777b3b,node-75,4,16384.0,6465,1
dbdc3512-33ce-4ad3-9a63-52596825c3f3,node-95,16,131072.0,53498,6
548c125d-210a-4f6c-a30b-9551d9039233,node-98,8,32768.0,14017,2
1d3fe936-9d30-433d-bd28-053de8fe55ad,node-81,8,32768.0,14435,2
7a5615cd-4cec-44b8-a900-7eddbefbb790,node-67,8,32768.0,10516,2
a6781941-c32e-4d94-b0ed-8c03ce8ce355,node-88,2,16384.0,7598,2
f70ef9c2-216d-48de-985f-fd9939a8d5fe,node-66,16,65536.0,32210,4
19640573-8520-4d98-8694-afaeefdea60c,node-24,2,8192.0,2676,1
d30222b9-8f1e-4d58-8fbd-082f967facf0,node-55,2,8192.0,3676,1
63ca4636-3618-480e-b10a-fe38b259631a,node-78,8,32768.0,11628,2
674bc1ba-f432-40ac-b3c2-844ddca0ff6f,node-96,8,32768.0,12990,2
5b07f91b-f7a1-4a3d-ba46-c03f35f9a5c5,node-58,4,16384.0,5772,1
8d0e7986-64a0-4c2f-bd21-8b517dd8196c,node-78,8,16384.0,7675,1
0d057d6b-7475-4935-a3be-6fd1df26c258,node-78,8,16384.0,7346,1
79152c03-330e-48fc-b93e-2ccad803e20c,node-70,4,16384.0,6106,1
a6815908-0c3e-47c9-a7fa-d85a198039c0,node-42,4,65536.0,23722,3
a2aaa978-d094-4d47-981c-f919c122f083,node-19,4,16384.0,6421,1
69769764-14fe-4ac1-85d4-0bcd6688e7ca,node-61,16,65536.0,30909,4
59d92633-7147-4895-849d-f6f86cbbb71f,node-65,24,65460.0,30992,4
3a894e0e-51ab-4299-9122-c7cb10368823,node-51,4,32768.0,14384,2
5813c6b2-8963-495f-ad33-4ee4c5a7833d,node-15,8,16384.0,5331,1
3bdcc96a-846d-412f-896b-6d8178bc8a23,node-39,4,16384.0,6962,1
4d7e8133-6167-4a8e-aa0e-2ca113358717,node-39,16,32768.0,10587,2
55e5e12d-c2b6-40b6-8bb6-9304f416eef6,node-53,4,16384.0,5791,1
b9bf4bf2-0077-493d-a99a-754ef609ab6d,node-84,4,16384.0,5173,1
c1772a15-5a46-4cd1-ae10-679676e0a514,node-92,4,16384.0,6043,1
e51064ae-9eb9-4f77-ba62-151cc78e2834,node-71,16,32768.0,13667,2
a2d77284-d612-4d68-8eb1-49a698b48ab8,node-14,8,32768.0,13378,2
a8acdbb3-ea24-4be9-a9df-1496d3d3a28f,node-53,4,32768.0,10159,2
2223d0d7-eb38-40bf-96ea-0fa8cee8b9b4,node-48,4,32768.0,12016,2
7968c642-9859-4816-83c7-28a4a4f33eea,node-62,8,16384.0,7644,1
3c9694c9-06eb-4c27-b116-b1d79145c3b6,node-59,4,16384.0,7790,1
351e85d0-2279-4869-bba1-d79bd5b691a9,node-81,4,16384.0,6655,1
648a607a-c9ec-4957-a5dd-693695b1ba33,node-94,8,32768.0,11789,2
10e3eca4-e846-44f6-823e-e92c642391ba,node-78,1,6144.0,1893,1
a03d0b9d-428c-4fcb-838d-787ae81fc847,node-51,1,6144.0,2236,1
462f340c-70ae-491a-92cb-feecf1d14e7d,node-64,4,16384.0,6756,1
15e14159-e5de-4deb-8cca-1e8fb31739eb,node-33,4,32768.0,15743,2
13096451-38e3-4cae-beec-6c1e02286c8f,node-189,2,6144.0,2676,1
f83c0b94-bf28-430f-9179-6c6e0a85b3d8,node-60,4,16384.0,5970,1
a37f8a31-4b69-4b95-a4f9-71417281d493,node-54,4,32768.0,14873,2
6d347133-7852-4531-b22b-f02511628cda,node-11,8,16384.0,7089,1
d254b60b-bd6f-4a86-ae2e-e7a548a260e2,node-27,8,16384.0,8123,2
5fd51604-221c-4618-b701-68c5afbf4b2f,node-92,16,65536.0,21864,3
48bb2a42-b34f-4082-9d70-470e5d4cd2fa,node-64,4,16384.0,6899,1
a337a363-72ce-442d-bcfc-a4251a43e2fe,node-23,16,65536.0,27954,4
8954bc13-1876-4e61-8fdc-bce2ee2387cb,node-90,16,65536.0,27018,3
897c1abd-aab4-42ae-a5cd-6e508290046b,node-46,16,65536.0,21009,3
14059df6-686f-441e-8d6f-41aebba4391a,node-188,16,65536.0,29115,4
3f08ff1f-ffe5-4b3a-96a5-038efedb43c2,node-69,16,65536.0,29683,4
f9e933ab-417c-47e8-b2ca-99c780c293c9,node-96,16,65536.0,31742,4
ecb9c90a-c8b6-4143-877b-b07aaea23420,node-22,16,65536.0,29799,3
74970cd8-726b-412f-8ab3-0053ff6a8066,node-71,16,65536.0,28267,4
9ee1e9fb-93f3-4da5-8886-88de2911b07d,node-87,16,65536.0,24404,3
c521b7c5-6558-47a0-9298-5e8497ccab91,node-72,16,65536.0,25354,3
8d024adb-5195-4c37-9a31-1f877fe1f623,node-72,16,65536.0,32285,4
51f0035d-1f10-4c5e-9fd5-75f414cfe0fb,node-94,16,65536.0,28317,4
222db29a-b877-4ae7-89e1-69e65c541e36,node-99,16,65536.0,27828,3
a3d199e2-775b-42e4-bef1-5b00253a3bf0,node-186,16,65536.0,26222,3
04b6cd77-5f1f-482a-ace9-724f1444af5d,node-57,8,32768.0,10591,2
a19b391b-8bc3-42db-8d8d-3c35d55a2621,node-81,8,16384.0,5124,1
46f16922-d613-42ee-bb66-160e800f1bc0,node-18,4,16384.0,6140,1
690c7cf5-3783-4539-8d6a-e1fa22a9afa8,node-67,8,16384.0,6169,1
41bd9ea5-f5c0-4929-947b-fe8885fc1bbd,node-23,8,16384.0,7515,1
2c5053f1-8d29-437d-9c02-feeb5fb4ecd0,node-44,8,32768.0,11172,2
eb1d5c85-de40-4b02-8408-86f3b0fe4ecb,node-186,16,65536.0,31597,4
70c7bc0b-32d2-4ad0-9664-ce27e6fcc114,node-91,16,131072.0,51680,6
1702fa14-2099-43bc-aba4-b43b578b3592,node-78,2,16384.0,7794,2
9ad178a8-9b2b-4720-bf71-9f7bf21a0ece,node-67,4,4096.0,1743,1
b29cf0c8-ea3f-492c-b0b6-6896e0d455dc,node-76,4,4096.0,1919,1
082fe416-3ea1-4035-af93-e792c41f7272,node-50,2,4096.0,1537,1
4ef6cf78-1cc9-4e0d-9a57-a7e33d721b5d,node-79,2,4096.0,2022,1
3230dea2-ad7b-4726-af47-a7d932197780,node-93,16,65536.0,25464,3
